{'temperature': 75.22, 'humidity': 50.48, 'pressure': 1000.59}
{'temperature': 75.25, 'humidity': 50.2, 'pressure': 1000.54}
{'temperature': 75.27, 'humidity': 50.16, 'pressure': 1000.55}
{'temperature': 75.33, 'humidity': 50.1, 'pressure': 1000.56}
{'temperature': 75.34, 'humidity': 50.15, 'pressure': 1000.59}
{'temperature': 75.34, 'humidity': 50.16, 'pressure': 1000.61}
{'temperature': 75.34, 'humidity': 50.15, 'pressure': 1000.59}
{'temperature': 75.34, 'humidity': 50.15, 'pressure': 1000.59}
{'temperature': 75.34, 'humidity': 50.16, 'pressure': 1000.6}
{'temperature': 75.36, 'humidity': 50.12, 'pressure': 1000.61}
{'temperature': 75.34, 'humidity': 50.11, 'pressure': 1000.61}
{'temperature': 75.34, 'humidity': 50.14, 'pressure': 1000.62}
{'temperature': 75.33, 'humidity': 50.2, 'pressure': 1000.62}
{'temperature': 75.33, 'humidity': 50.24, 'pressure': 1000.61}
{'temperature': 75.34, 'humidity': 50.22, 'pressure': 1000.6}
{'temperature': 75.34, 'humidity': 50.25, 'pressure': 1000.62}
{'temperature': 75.36, 'humidity': 50.29, 'pressure': 1000.6}
{'temperature': 75.34, 'humidity': 50.53, 'pressure': 1000.66}
{'temperature': 75.34, 'humidity': 50.51, 'pressure': 1000.65}
{'temperature': 75.34, 'humidity': 50.51, 'pressure': 1000.65}
{'temperature': 75.33, 'humidity': 50.49, 'pressure': 1000.66}
{'temperature': 75.34, 'humidity': 50.39, 'pressure': 1000.65}
{'temperature': 75.34, 'humidity': 50.27, 'pressure': 1000.62}
{'temperature': 75.34, 'humidity': 50.19, 'pressure': 1000.62}
{'temperature': 75.34, 'humidity': 50.19, 'pressure': 1000.64}
{'temperature': 75.38, 'humidity': 50.15, 'pressure': 1000.67}
{'temperature': 75.38, 'humidity': 50.12, 'pressure': 1000.65}
{'temperature': 75.38, 'humidity': 50.12, 'pressure': 1000.66}
{'temperature': 75.36, 'humidity': 50.18, 'pressure': 1000.64}
{'temperature': 75.34, 'humidity': 50.2, 'pressure': 1000.62}
{'temperature': 75.34, 'humidity': 50.19, 'pressure': 1000.59}
{'temperature': 75.34, 'humidity': 50.17, 'pressure': 1000.56}
{'temperature': 75.33, 'humidity': 50.14, 'pressure': 1000.58}
{'temperature': 75.33, 'humidity': 50.18, 'pressure': 1000.53}
{'temperature': 75.33, 'humidity': 50.18, 'pressure': 1000.53}
{'temperature': 75.33, 'humidity': 50.19, 'pressure': 1000.54}
{'temperature': 75.33, 'humidity': 50.22, 'pressure': 1000.58}
{'temperature': 75.31, 'humidity': 50.26, 'pressure': 1000.54}
{'temperature': 75.31, 'humidity': 50.25, 'pressure': 1000.56}
{'temperature': 75.33, 'humidity': 50.18, 'pressure': 1000.55}
{'temperature': 75.33, 'humidity': 50.08, 'pressure': 1000.57}
{'temperature': 75.33, 'humidity': 50.03, 'pressure': 1000.55}
{'temperature': 75.33, 'humidity': 50.11, 'pressure': 1000.54}
{'temperature': 75.31, 'humidity': 50.1, 'pressure': 1000.58}
{'temperature': 75.27, 'humidity': 50.11, 'pressure': 1000.57}
{'temperature': 75.25, 'humidity': 50.02, 'pressure': 1000.58}
{'temperature': 75.25, 'humidity': 50.04, 'pressure': 1000.58}
{'temperature': 75.25, 'humidity': 50.13, 'pressure': 1000.61}
{'temperature': 75.25, 'humidity': 50.17, 'pressure': 1000.59}
{'temperature': 75.25, 'humidity': 50.19, 'pressure': 1000.62}
